"Type","Price information classification","Area","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","District","Nearest station : Name","Nearest station : Distance","Total transaction value","Area(‡u)","Land : Price per m2","Land : Shape","Frontage","Building : Total floor area","Building : Construction year","Building : Structure","Use","Purpose of use","Frontage road : Direction","Frontage road : Width","Frontage road : Type","City planning","Building coverage ratio","Floor area ratio","Transaction timing","Transaction factors"
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13207","Tokyo","Akishima City","Musashino","Seibu Tachikawa",22,25000000,115,220000,"Semi-square Shaped",11.4,"","","","","House","Northwest",6,"Private Road","Quasi-Ind",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13207","Tokyo","Akishima City","Musashino","Seibu Tachikawa",13,35000000,80,"","Rectangular Shaped",6.7,90,"2025","W","House","House","Southwest",12.5,"City Road","Quasi-Ind",60,200,"1st quarter 2025",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13207","Tokyo","Akishima City","Musashino","Seibu Tachikawa",16,20000000,115,180000,"Semi-square Shaped",10.4,"","","","","House","Southwest",6,"Private Road","Quasi-Ind",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13207","Tokyo","Akishima City","Mokusenomori","Higashi Nakagami",14,80000000,115,"","Rectangular Shaped",9.3,95,"2025","LS","House","House","South",6,"Private Road","2 Res",60,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13207","Tokyo","Akishima City","Mokusenomori","Higashi Nakagami",11,83000000,115,"","Semi-rectangular Shaped",7.4,105,"2024","LS","House","House","South",6,"City Road","2 Res",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13207","Tokyo","Akishima City","Mokusenomori","Higashi Nakagami",12,81000000,115,"","Rectangular Shaped",12.4,105,"2024","LS","House","House","East",6,"City Road","2 Res",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13207","Tokyo","Akishima City","Mokusenomori","Higashi Nakagami",12,70000000,115,"","Rectangular Shaped",11.6,100,"2024","LS","House","House","North",12,"City Road","2 Res",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13207","Tokyo","Akishima City","Mokusenomori","Higashi Nakagami",12,79000000,115,"","Rectangular Shaped",9.5,100,"2020","LS","House","House","South",6,"City Road","2 Res",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13207","Tokyo","Akishima City","Mokusenomori","Higashi Nakagami",12,76000000,115,"","Rectangular Shaped",9.3,100,"2024","LS","House","House","North",6,"City Road","2 Res",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13207","Tokyo","Akishima City","Mokusenomori","Higashi Nakagami",13,85000000,115,"","Rectangular Shaped",9.5,105,"2024","LS","House","House","South",6,"City Road","2 Res",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13207","Tokyo","Akishima City","Mokusenomori","Higashi Nakagami",13,75000000,115,"","Semi-square Shaped",10.9,105,"2024","LS","House","House","West",6,"City Road","2 Res",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13207","Tokyo","Akishima City","Mokusenomori","Higashi Nakagami",10,73000000,115,"","Semi-square Shaped",11.2,105,"2024","LS","House","House","East",6,"Road","2 Res",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13207","Tokyo","Akishima City","Mokusenomori","Higashi Nakagami",13,84000000,115,"","Semi-rectangular Shaped",9.5,105,"2024","LS","House","House","South",6,"City Road","2 Res",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Midorigaoka","Sengawa",15,70000000,135,"","","",110,"2003","W","","","East",6.5,"Public Road","1 Exc Low",50,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Chofugaoka","Chofu(Tokyo)",15,14000000,80,"","","",65,"1976","W","","","","","","1 Exc Low",50,100,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Chofugaoka","Chofu(Tokyo)",15,60000000,110,"","","",90,"2015","W","","","North",4,"Public Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Nishitsutsujigaoka","Tsutsujigaoka(Tokyo)",15,58000000,115,"","","",90,"2018","W","","","East",5.9,"Public Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Nishitsutsujigaoka","Tsutsujigaoka(Tokyo)",15,47000000,90,"","","",70,"2018","W","","","",4,"","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Fujimicho","Nishi Chofu",20,55000000,125,"","","",100,"2007","W","","","Northeast",5,"Public Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Fuda","Chofu(Tokyo)",15,72000000,115,"","","",90,"2020","W","","","North",4.5,"Public Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Kokuryocho","Kokuryo",5,160000000,280,"","","",185,"1975","RC","","","Northwest",5.6,"Private Road","1 Exc Med",60,150,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Kokuryocho","Kokuryo",10,69000000,130,"","","",100,"2025","W","","","","","","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Kokuryocho","Kokuryo",15,32000000,85,"","","",75,"1977","W","","","North",5.7,"Public Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Sazumachi","Kokuryo",15,30000000,75,"","","",60,"2016","W","","","Southeast",4,"Public Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Sazumachi","Fuda",20,69000000,145,"","","",110,"2024","W","","","","","","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Sazumachi","Fuda",15,59000000,120,"","","",95,"2011","W","","","Southeast",5,"Public Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Jindaijikitamachi","Chofu(Tokyo)","",42000000,125,"","","",105,"1997","W","","","Southeast",4.5,"Public Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Jindaijihigashimachi","Mitaka","",46000000,110,"","","",90,"2013","W","","","North","","Public Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Jindaijimotomachi","Mitaka","",48000000,100,"","","",80,"2008","W","","","Southwest",5,"Public Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Tamagawa","Keio Tamagawa",10,57000000,125,"","","",75,"2024","W","","","Northeast",4,"Public Road","1 Exc Low",30,60,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Tamagawa","Keio Tamagawa",10,29000000,85,"","","",80,"1996","W","","","Northwest",6.3,"Public Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Tobitakyu","Tobitakyu",15,50000000,105,"","","",85,"2022","W","","","Southeast",5,"Public Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Irimacho","Seijogakuen Mae",20,63000000,215,"","","",145,"1977","W","","","North",4,"Private Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Irimacho","Tsutsujigaoka(Tokyo)",20,43000000,160,"","","",80,"1977","W","","","Northeast",4.3,"Public Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Kojimacho","Chofu(Tokyo)",10,180000000,185,"","","",300,"2010","LS","","","South",21.5,"Public Road","Neighborhood Comm",90,300,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Jindaijiminamimachi","Shibasaki",20,43000000,145,"","","",120,"1993","W","","","",4,"","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Kikunodai","Shibasaki",5,55000000,95,"","","",75,"2018","W","","","West",4,"Private Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Kikunodai","Shibasaki",10,77000000,105,"","","",85,"2025","W","","","South",6.5,"Public Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Kikunodai","Shibasaki",10,48000000,90,"","","",100,"1995","W","","","Southeast",6,"Public Road","1 Exc Med",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Kikunodai","Tsutsujigaoka(Tokyo)",10,78000000,130,"","","",100,"2025","W","","","","","","1 Exc Low",40,80,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Midorigaoka","Sengawa",20,21000000,70,"","","",65,"1977","W","","","Southwest",6.6,"Public Road","1 Exc Low",40,80,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Midorigaoka","Sengawa",15,70000000,110,"","","",90,"2020","W","","","North",4,"Private Road","1 Exc Low",40,80,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Kikunodai","Shibasaki",10,73000000,105,"","","",85,"2025","W","","","South",6.5,"Public Road","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Kikunodai","Shibasaki",10,70000000,120,"","","",100,"2014","W","","","Southeast",5,"","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Kikunodai","Shibasaki",5,72000000,100,"","","",95,"2025","W","","","Northwest",4,"Private Road","1 Exc Low",50,100,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Kikunodai","Shibasaki",10,59000000,80,"","","",65,"2025","W","","","","","","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Kikunodai","Shibasaki",5,27000000,40,"","","",85,"1989","W","","","Southeast",5.3,"Public Road","Neighborhood Comm",80,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Kikunodai","Tsutsujigaoka(Tokyo)",10,46000000,85,"","","",70,"2025","W","","","Northwest",4,"Private Road","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Midorigaoka","Sengawa",15,70000000,115,"","","",90,"2025","W","","","","","","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Shibasaki","Shibasaki",10,57000000,120,"","","",90,"2020","W","","","East",4.5,"","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Shibasaki","Shibasaki",10,59000000,100,"","","",80,"2001","LS","","","Northeast",5.8,"Public Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Shibasaki","Tsutsujigaoka(Tokyo)",15,74000000,120,"","","",105,"2022","W","","","","","Public Road","1 Exc Low",50,100,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Shibasaki","Shibasaki",10,37000000,50,"","","",80,"2002","W","","","Southwest",4,"Public Road","Quasi-Ind",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Somechi","Chofu(Tokyo)",20,60000000,130,"","","",105,"2024","W","","","Northeast",5.6,"Public Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Somechi","Kokuryo",20,49000000,125,"","","",100,"2001","W","","","North",5,"Public Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Chofugaoka","Chofu(Tokyo)",15,68000000,95,"","","",110,"2024","W","","","Northwest",4.5,"Public Road","1 Exc Low",60,100,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Chofugaoka","Chofu(Tokyo)",15,66000000,95,"","","",110,"2024","W","","","Northwest",4.5,"Public Road","1 Exc Low",60,100,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Nishitsutsujigaoka","Tsutsujigaoka(Tokyo)",15,32000000,85,"","","",75,"1997","W","","","Southeast",4,"Public Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Nishitsutsujigaoka","Tsutsujigaoka(Tokyo)",10,110000000,180,"","","",120,"2010","W","","","Northwest",4,"Public Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Nishitsutsujigaoka","Tsutsujigaoka(Tokyo)",10,64000000,100,"","","",80,"2024","W","","","","","","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Nishitsutsujigaoka","Tsutsujigaoka(Tokyo)",10,130000000,340,"","","",225,"1997","W","","","South",4,"","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Fujimicho","Nishi Chofu",20,28000000,50,"","","",105,"1998","W","","","Southeast",8,"Public Road","1 Exc Med",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Fujimicho","Nishi Chofu",10,62000000,110,"","","",105,"2025","W","","","","","","1 Exc Med",60,150,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Fujimicho","Chofu(Tokyo)",15,24000000,75,"","","",110,"1992","W","","","West",4.8,"Public Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Fuda","Fuda",5,69000000,110,"","","",105,"2008","W","","","East",4.5,"Public Road","1 Exc Low",50,100,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Fuda","Fuda",10,64000000,105,"","","",95,"1996","W","","","","","","1 Res",50,100,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Shibasaki","Shibasaki",10,63000000,65,"","","",100,"2019","W","","","North",5.4,"Public Road","Neighborhood Comm",80,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Somechi","Fuda",15,49000000,115,"","","",90,"2006","W","","","Southeast",5,"Public Road","1 Exc Low",40,80,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Somechi","Kokuryo",20,54000000,105,"","","",85,"2025","W","","","","","","1 Exc Low",40,80,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Chofugaoka","Chofu(Tokyo)",15,51000000,110,"","","",90,"2003","W","","","","","Private Road","1 Exc Low",40,80,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Chofugaoka","Chofu(Tokyo)","",55000000,125,"","","",115,"1985","W","","","South",8.6,"Public Road","1 Exc Low",50,100,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Chofugaoka","Chofu(Tokyo)",20,40000000,45,"","","",80,"2020","W","","","West",4,"Public Road","Neighborhood Comm",80,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Chofugaoka","Chofu(Tokyo)",10,79000000,105,"","","",95,"2019","W","","","Northwest",5.5,"Public Road","1 Exc Low",50,100,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Chofugaoka","Chofu(Tokyo)",15,100000000,210,"","","",80,"1996","W","","","West",4,"Public Road","1 Exc Low",40,80,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Nishitsutsujigaoka","Tsutsujigaoka(Tokyo)",15,67000000,100,"","","",80,"2025","W","","","West",4.4,"","1 Exc Low",40,80,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Nishitsutsujigaoka","Shibasaki",10,56000000,110,"","","",100,"2008","W","","","East",5,"Public Road","1 Exc Low",50,100,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Nishitsutsujigaoka","Tsutsujigaoka(Tokyo)",10,75000000,130,"","","",100,"2025","W","","","Northwest",4.5,"Public Road","1 Exc Low",40,80,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Nishitsutsujigaoka","Tsutsujigaoka(Tokyo)",10,78000000,130,"","","",100,"2025","W","","","Southwest",4.5,"Public Road","1 Exc Low",40,80,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Fujimicho","Nishi Chofu",10,63000000,110,"","","",100,"2025","W","","","","","","1 Exc Med",60,150,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Fuda","Chofu(Tokyo)",10,50000000,60,"","","",90,"2006","W","","","West",4,"Public Road","1 Res",60,160,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Fuda","Chofu(Tokyo)",10,70000000,70,"","","",95,"2022","W","","","","","","1 Res",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Shibasaki","Tsutsujigaoka(Tokyo)",20,59000000,100,"","","",80,"2025","W","","","East",4.5,"Private Road","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Somechi","Kokuryo",20,54000000,105,"","","",80,"2025","W","","","","","","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Somechi","Kokuryo",20,55000000,105,"","","",80,"2025","W","","","","","","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Somechi","Kokuryo",20,53000000,105,"","","",85,"2025","W","","","","","","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Somechi","Kokuryo",20,58000000,105,"","","",80,"2025","W","","","","","","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Somechi","Kokuryo",20,54000000,105,"","","",80,"2025","W","","","","","","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Somechi","Fuda",20,49000000,85,"","","",70,"2025","W","","","","","","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Chofugaoka","Chofu(Tokyo)",10,82000000,130,"","","",110,"2000","W","","","",6,"","1 Exc Low",50,100,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Fujimicho","Nishi Chofu",10,65000000,100,"","","",100,"2025","W","","","","","","2 Exc Med",60,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Fuda","Chofu(Tokyo)",15,56000000,80,"","","",65,"2025","W","","","East",5,"Public Road","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Fuda","Chofu(Tokyo)",10,76000000,110,"","","",85,"2023","W","","","","","","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Fuda","Fuda",10,77000000,165,"","","",130,"2007","W","","","Northwest",5,"Public Road","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Kokuryocho","Fuda",10,47000000,100,"","","",80,"2009","W","","","South",6.5,"Public Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Kokuryocho","Kokuryo",10,72000000,130,"","","",100,"2025","W","","","","","","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Kokuryocho","Fuda",5,55000000,85,"","","",95,"2012","W","","","",6,"Public Road","1 Exc Med",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Kokuryocho","Fuda",10,68000000,80,"","","",80,"2025","W","","","West",4,"Public Road","1 Exc Low",50,100,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Kokuryocho","Fuda",10,71000000,85,"","","",80,"2025","W","","","West",4,"Public Road","1 Exc Low",50,100,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Kokuryocho","Fuda",10,73000000,80,"","","",80,"2025","W","","","North",4.5,"Public Road","1 Exc Low",60,100,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Sazumachi","Fuda",20,33000000,75,"","","",85,"1998","W","","","North",4.5,"Public Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Shimoishiwara","Nishi Chofu",10,70000000,105,"","","",100,"2022","W","","","Southwest",5,"Public Road","1 Exc Low",50,100,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Shimoishiwara","Nishi Chofu",10,85000000,150,"","","",125,"2020","W","","","","","Private Road","1 Exc Low",50,100,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Shimoishiwara","Nishi Chofu",10,58000000,85,"","","",85,"2025","W","","","","","","1 Exc Low",50,100,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Jindaijikitamachi","Chofu(Tokyo)","",59000000,135,"","","",105,"2005","W","","","North",4,"Public Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Jindaijikitamachi","Mitaka","",48000000,100,"","","",80,"2024","W","","","","","","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Jindaijihigashimachi","Mitaka","",54000000,175,"","","",135,"1998","W","","","Northwest",4,"Public Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Jindaijihigashimachi","Kichijoji","",41000000,105,"","","",90,"2004","W","","","East",5.8,"Public Road","2 Exc Med",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Jindaijihigashimachi","Tsutsujigaoka(Tokyo)","",39000000,70,"","","",105,"2006","W","","","Southeast",4,"Private Road","2 Exc Med",60,160,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Jindaijihigashimachi","Mitaka","",50000000,115,"","","",90,"2012","W","","","South",4.5,"Public Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Jindaijihigashimachi","Chofu(Tokyo)","",40000000,105,"","","",95,"2007","W","","","North",5,"Public Road","1 Exc Med",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Jindaijihigashimachi","Tsutsujigaoka(Tokyo)",25,37000000,70,"","","",55,"2016","W","","","East",4,"","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Jindaijihigashimachi","Chofu(Tokyo)","",30000000,105,"","","",85,"2002","W","","","Northeast",5,"Public Road","1 Exc Low",50,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Jindaijihigashimachi","Mitaka","",46000000,135,"","","",95,"1985","W","","","Southeast",4.8,"Public Road","1 Exc Low",50,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Jindaijimotomachi","Chofu(Tokyo)",25,230000000,275,"","","",190,"2021","W","","","Northwest",4.5,"Public Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Jindaijimotomachi","Chofu(Tokyo)","",37000000,100,"","","",80,"1999","W","","","South",4,"Public Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Tamagawa","Keio Tamagawa",15,21000000,70,"","","",75,"1985","W","","","North",4,"Public Road","Quasi-Ind",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Tamagawa","Keio Tamagawa",10,44000000,135,"","","",80,"2003","W","","","",6,"","1 Exc Low",30,60,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Tamagawa","Nishi Chofu",15,27000000,65,"","","",75,"2004","W","","","Southeast",6,"Public Road","Quasi-Ind",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Tamagawa","Keio Tamagawa",10,16000000,75,"","","",110,"1973","LS","","","","","","1 Exc Low",30,60,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13208","Tokyo","Chofu City","Tobitakyu","Tobitakyu",5,44000000,90,"","","",75,"2025","W","","","","","","1 Exc Low",40,80,"1st quarter 2025",""
