"Type","Price.information.classification","Area","City.Town.Ward.Village.code","Prefecture","City.Town.Ward.Village","District","Nearest.station...Name","Nearest.station...Distance","Total.transaction.value","Area...","Land...Price.per.m2","Land...Shape","Frontage","Building...Total.floor.area","Building...Construction.year","Building...Structure","Use","Purpose.of.use","Frontage.road...Direction","Frontage.road...Width","Frontage.road...Type","City.planning","Building.coverage.ratio","Floor.area.ratio","Transaction.timing","Transaction.factors"
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Haijimacho","Haijima","15",4.4e+07,"135",NA,"","","105","2025","W","","","South",5.5,"Public Road","1 Exc Low",50,80,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Haijimacho","Akishima","25",2.5e+07,"120",NA,"","","100","2015","W","","","Northeast",4.5,"Private Road","1 Exc Low",40,80,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Haijimacho","Haijima","",3.4e+07,"115",NA,"","","90","2025","W","","","Southeast",5.5,"Public Road","1 Exc Low",40,80,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Haijimacho","Haijima","20",3.7e+07,"100",NA,"","","80","2024","W","","","",NA,"","1 Exc Low",40,80,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Haijimacho","Haijima","",8500000,"65",NA,"","","70","1996","W","","","",4,"","1 Exc Low",40,80,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Haijimacho","Haijima","",3.2e+07,"125",NA,"","","100","2025","W","","","",NA,"","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Haijimacho","Akishima","25",2e+07,"130",NA,"","","95","2011","W","","","Northeast",13,"Public Road","1 Exc Med",60,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Haijimacho","Haijima","",3.2e+07,"125",NA,"","","95","2025","W","","","",NA,"","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Haijimacho","Haijima","",3.2e+07,"125",NA,"","","100","2025","W","","","",NA,"","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Haijimacho","Haijima","",3.3e+07,"125",NA,"","","100","2025","W","","","",NA,"","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Haijimacho","Haijima","",3.2e+07,"125",NA,"","","100","2025","W","","","",NA,"","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Haijimacho","Haijima","",3.1e+07,"125",NA,"","","100","2025","W","","","",NA,"","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Haijimacho","Haijima","",3.3e+07,"125",NA,"","","100","2025","W","","","",NA,"","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Haijimacho","Akishima","25",3.4e+07,"100",NA,"","","90","2025","W","","","South",NA,"","1 Exc Med",60,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Haijimacho","Haijima","20",3.7e+07,"100",NA,"","","80","2024","W","","","",NA,"","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Haijimacho","Haijima","20",6e+06,"120",NA,"","","70","1977","W","","","West",4,"Public Road","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Haijimacho","Haijima","20",2.4e+07,"135",NA,"","","170","2006","S","","","Northwest",6.1,"Public Road","1 Exc Med",60,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Haijimacho","Haijima","20",1.2e+07,"80",NA,"","","70","1981","W","","","Northeast",4,"Private Road","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Gochicho","Nishi Tachikawa","25",3.6e+07,"130",NA,"","","100","2025","W","","","South",5,"Public Road","Quasi-Ind",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Tanakacho","Akishima","20",5e+07,"125",NA,"","","100","2025","W","","","Southeast",5,"Private Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Tanakacho","Akishima","20",4.6e+07,"130",NA,"","","100","2025","W","","","Northeast",5,"Private Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Tanakacho","Akishima","20",3e+07,"165",NA,"","","120","1999","W","","","Southeast",9,"Public Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Tanakacho","Akishima","15",3e+07,"135",NA,"","","80","1994","W","","","Southwest",NA,"Public Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Nakagamicho","Nakagami","5",6.9e+07,"170",NA,"","","195","2000","W","","","",NA,"","1 Exc Med",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Nakagamicho","Nakagami","15",4.1e+07,"155",NA,"","","95","2025","W","","","North",4,"Private Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Nakagamicho","Nakagami","15",4.1e+07,"100",NA,"","","80","2025","W","","","West",4,"Private Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Nakagamicho","Nakagami","20",2.7e+07,"120",NA,"","","95","2004","LS","","","South",6,"Public Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Mihoricho","Seibu Tachikawa","15",1.8e+07,"100",NA,"","","90","1998","W","","","North",4,"Public Road","1 Exc Low",50,100,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Mihoricho","Seibu Tachikawa","15",3.4e+07,"105",NA,"","","85","2024","W","","","South",4,"Private Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Mihoricho","Haijima","20",3.4e+07,"100",NA,"","","80","2024","W","","","West",6,"Private Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Tanakacho","Akishima","20",3200000,"335",NA,"","","90","1992","W","","","East",4.5,"Private Road","1 Exc Low",40,80,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Nakagamicho","Nakagami","15",3.9e+07,"125",NA,"","","85","2024","W","","","",4,"Public Road","1 Exc Low",40,80,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Nakagamicho","Nakagami","15",3.9e+07,"135",NA,"","","95","2024","W","","","",4,"Public Road","1 Exc Low",40,80,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Nakagamicho","Nakagami","20",3.5e+07,"115",NA,"","","95","2015","W","","","Northwest",5,"Public Road","1 Exc Low",40,80,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Nakagamicho","Nakagami","15",2.4e+07,"75",NA,"","","75","2010","W","","","West",18,"Public Road","1 Exc Med",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Nakagamicho","Nakagami","15",3.8e+07,"115",NA,"","","95","2025","W","","","South",5,"Private Road","1 Exc Low",40,80,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Nakagamicho","Akishima","15",4.4e+07,"120",NA,"","","90","2025","W","","","",NA,"","1 Exc Low",40,80,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Nakagamicho","Nakagami","20",4.2e+07,"115",NA,"","","95","2025","W","","","",NA,"","1 Exc Low",40,80,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Gochicho","Nishi Tachikawa","20",4.7e+07,"125",NA,"","","100","2025","W","","","Southeast",6.2,"Public Road","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Gochicho","Tachikawa","",2.5e+07,"60",NA,"","","75","2015","W","","","East",4,"Public Road","2 Exc Med",60,160,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Gochicho","Nishi Tachikawa","15",2.2e+07,"110",NA,"","","90","2004","W","","","Northeast",4,"Public Road","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Jogawaracho","Akishima","10",4e+07,"185",NA,"","","120","1986","W","","","East",6,"Public Road","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Tanakacho","Akishima","20",4.2e+07,"150",NA,"","","100","2025","W","","","",NA,"","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Tsuijicho","Higashi Nakagami","10",4.2e+07,"110",NA,"","","100","2011","W","","","",NA,"","1 Exc Med",60,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Nakagamicho","Nakagami","15",3.3e+07,"105",NA,"","","80","2025","W","","","West",4,"Private Road","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Nakagamicho","Nakagami","20",2.7e+07,"115",NA,"","","95","2015","W","","","South",5,"Public Road","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Nakagamicho","Nakagami","20",4.2e+07,"115",NA,"","","95","2025","W","","","",NA,"","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Nakagamicho","Nakagami","15",4.6e+07,"70",NA,"","","110","2025","W","","","",NA,"Public Road","1 Exc Med",60,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Matsubaracho","Haijima","10",5.6e+07,"145",NA,"","","105","2025","W","","","",4,"Public Road","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Matsubaracho","Haijima","10",5.9e+07,"145",NA,"","","105","2025","W","","","",4,"Public Road","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13207,"Tokyo","Akishima City","Mihoricho","Seibu Tachikawa","15",3.7e+07,"150",NA,"","","125","2020","W","","","",NA,"","1 Exc Med",60,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Asahicho","Nakagami","11",4.9e+07,"120",NA,"Semi-shaped","12","95","2024","W","House","House","Northwest",5,"Private Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Azumacho","Nishi Tachikawa","8",3.3e+07,"80",NA,"Semi-trapezoidal Shaped","5.4","115","2013","W","House","House","South",6.5,"City Road","1 Exc Med",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Azumacho","Nishi Tachikawa","4",3.7e+07,"150",NA,"Rectangular Shaped","10.2","130","2019","W","House","House","Southwest",5.2,"City Road","1 Exc Med",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Azumacho","Nishi Tachikawa","4",5e+07,"120",NA,"&quot;Flag-shaped&quot; etc.","","90","2024","W","House","House","North",4.5,"Road","Quasi-Ind",60,200,"4th quarter 2024","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Ogamicho","Akishima","17",2.3e+07,"290",NA,"Semi-rectangular Shaped","14.6","65","1966","W","House","House","East",3,"City Road","1 Exc Low",40,80,"1st quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Ogamicho","Akishima","20",1.7e+07,"135",NA,"Semi-square Shaped","11.6","125","1989","W","House","House","East",4,"Private Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Gochicho","Nishi Tachikawa","22",3.6e+07,"125",NA,"&quot;Flag-shaped&quot; etc.","2.5","95","2025","W","House","House","Southeast",5,"Private Road","Quasi-Ind",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Gochicho","Nishi Tachikawa","21",4.4e+07,"135",NA,"Semi-shaped","7.4","100","2025","W","House","House","South",6,"City Road","Quasi-Ind",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Gochicho","Higashi Nakagami","19",3.7e+07,"105",NA,"&quot;Flag-shaped&quot; etc.","2.7","90","2025","W","House","House","North",4,"City Road","Quasi-Ind",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Jogawaracho","Akishima","6",4.9e+07,"100",NA,"Semi-trapezoidal Shaped","7.6","80","2025","W","House","House","West",5,"City Road","1 Exc Low",40,80,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Showacho","Akishima","7",4.6e+07,"75",NA,"Rectangular Shaped","5.8","80","2025","W","House","House","East",4,"City Road","1 Res",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Showacho","Akishima","7",4.9e+07,"85",NA,"Rectangular Shaped","6.8","95","2025","W","House","House","East",4,"City Road","1 Res",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Tanakacho","Akishima","25",3.4e+07,"105",NA,"Semi-shaped","8.9","95","2025","W","House","House","Southeast",12,"City Road","Quasi-Ind",60,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Tanakacho","Akishima","15",3.8e+07,"90",NA,"Semi-rectangular Shaped","7.6","75","2025","W","House","House","North",3.5,"City Road","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Tanakacho","Akishima","18",4.7e+07,"125",NA,"Semi-rectangular Shaped","7.4","100","2025","W","House","House","Southwest",5,"Private Road","1 Exc Low",40,80,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Tanakacho","Akishima","18",4.4e+07,"125",NA,"Semi-rectangular Shaped","7","100","2025","W","House","House","Northwest",1.2,"City Road","1 Exc Low",40,80,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Tanakacho","Akishima","16",3e+07,"165",NA,"Square Shaped","13","120","1999","W","House","House","East",9,"City Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Tanakacho","Akishima","18",4e+07,"130",NA,"Semi-shaped","13","100","2024","W","House","House","Northwest",5,"Private Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Tanakacho","Akishima","17",3.7e+07,"100",NA,"Rectangular Shaped","8.4","95","2018","W","House","House","West",6,"City Road","1 Exc Med",50,150,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Tanakacho","Akishima","16",4.6e+07,"130",NA,"Semi-trapezoidal Shaped","","100","2025","W","House","House","Northeast",5,"Private Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Tanakacho","Akishima","18",4.2e+07,"120",NA,"Irregular Shaped","5.5","95","2025","W","House","House","North",5,"Private Road","1 Exc Low",40,80,"4th quarter 2024","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Tamagawacho","Nakagami","8",5.8e+07,"100",NA,"Semi-rectangular Shaped","12.2","70","2025","W","House","House","West",9,"Tokyo Metropolitan Road","1 Exc Med",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Tamagawacho","Nakagami","3",3.9e+07,"70",NA,"Irregular Shaped","2.7","70","2025","W","House","House","East",4,"City Road","Neighborhood Comm",80,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Tamagawacho","Nakagami","3",3.5e+07,"70",NA,"Irregular Shaped","2.7","70","2025","W","House","House","East",4,"City Road","Neighborhood Comm",80,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Tamagawacho","Nakagami","12",3.3e+07,"145",NA,"Trapezoidal Shaped","8.2","120","1999","W","","House","South",6,"Private Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Tamagawacho","Higashi Nakagami","4",2.1e+07,"105",NA,"Irregular Shaped","3.4","85","2001","W","House","House","South",16,"Tokyo Metropolitan Road","Neighborhood Comm",80,300,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Tamagawacho","Higashi Nakagami","5",4.5e+07,"80",NA,"Semi-rectangular Shaped","10.5","100","2024","W","House","House","Southeast",5,"City Road","Neighborhood Comm",80,300,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Tamagawacho","Higashi Nakagami","4",2.2e+07,"105",NA,"Rectangular Shaped","8.2","40","1967","W","House","House","North",4.8,"City Road","1 Exc Med",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Nakagamicho","Nakagami","14",3.8e+07,"120",NA,"Semi-rectangular Shaped","6.5","85","2024","W","House","House","South",3.9,"City Road","1 Exc Low",40,80,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Nakagamicho","Nakagami","13",4.5e+07,"120",NA,"Rectangular Shaped","9.8","95","2025","W","House","House","North",5,"City Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Nakagamicho","Nakagami","9",6e+06,"65",NA,"Rectangular Shaped","","60","1972","W","House","Other","Northwest",4.5,"Private Road","1 Exc Low",50,100,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Nakagamicho","Nakagami","13",4.5e+07,"120",NA,"Trapezoidal Shaped","9.3","95","2025","W","House","House","North",5,"Private Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Nakagamicho","Nakagami","16",4.2e+07,"125",NA,"Semi-shaped","7.5","100","2025","W","House","House","Northeast",4,"City Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Nakagamicho","Nakagami","17",3.6e+07,"135",NA,"Irregular Shaped","2.6","95","2025","W","House","House","Northeast",4,"City Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Nakagamicho","Nakagami","8",3.2e+07,"220",NA,"Irregular Shaped","6.4","30","1987","S","Factory","House","East",6,"Private Road","Quasi-Ind",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Nakagamicho","Nakagami","5",6.7e+07,"160",NA,"Irregular Shaped","20","145","2021","LS","Housing Complex","","East",18,"Tokyo Metropolitan Road","1 Exc Med",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Nakagamicho","Nakagami","7",5e+07,"165",NA,"Semi-rectangular Shaped","9.9","100","2022","W","House","House","Southwest",6,"City Road","1 Exc Low",50,100,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Nakagamicho","Nakagami","13",3e+07,"480",NA,"Irregular Shaped","5","105","1981","W","House","House","South",2.3,"City Road","1 Exc Low",40,80,"4th quarter 2024","Dealings between related objects"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Nakagamicho","Nakagami","15",6500000,"85",NA,"Irregular Shaped","","80","1981","W","House","House","Northeast",5,"Private Road","1 Exc Med",60,200,"4th quarter 2024","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Nakagamicho","Musashi Sunagawa","20",2.5e+07,"100",NA,"Rectangular Shaped","7.3","90","1996","W","House","House","Southwest",6,"City Road","1 Exc Med",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Haijimacho","Akishima","22",2.4e+07,"120",NA,"Irregular Shaped","","95","2015","W","House","House","North",4.5,"Private Road","1 Exc Low",40,80,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Haijimacho","Akishima","23",3.3e+07,"115",NA,"Semi-rectangular Shaped","7.6","85","2025","W","House","House","Northwest",8.2,"City Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Haijimacho","Akishima","28",3.2e+07,"145",NA,"Semi-rectangular Shaped","9.1","100","2024","W","House","House","Northwest",4,"City Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Haijimacho","Haijima","30-60minutes",3e+07,"130",NA,"Semi-shaped","6.3","100","2025","W","House","Office","Northeast",5,"Road","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Haijimacho","Haijima","19",1.1e+07,"115",NA,"Rectangular Shaped","16.5","85","2002","W","House","House","Southeast",5,"City Road","1 Exc Low",40,80,"2nd quarter 2025","Dealings in which auction or arbiter participates"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Haijimacho","Haijima","18",3e+07,"100",NA,"Semi-shaped","","80","2025","W","House","House","West",4,"Private Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Haijimacho","Haijima","23",2.7e+07,"115",NA,"&quot;Flag-shaped&quot; etc.","2.7","90","2024","W","House","House","Southeast",4,"City Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Fukujimacho","Nakagami","19",3.4e+07,"115",NA,"Semi-trapezoidal Shaped","7.6","90","2024","W","House","House","Southeast",5,"City Road","1 Exc Low",40,80,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Fukujimacho","Nishi Tachikawa","24",5.8e+07,"135",NA,"Semi-rectangular Shaped","10.1","100","2025","W","House","House","Southeast",6,"City Road","Quasi-Ind",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13207,"Tokyo","Akishima City","Fukujimacho","Higashi Nakagami","2",3.9e+07,"65",NA,"Semi-rectangular Shaped","5.8","75","2004","W","House","House","South",4,"City Road","Neighborhood Comm",80,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Fukujimacho","Higashi Nakagami","23",3.5e+07,"115",NA,"Semi-trapezoidal Shaped","","95","2023","W","House","House","Southwest",6.2,"Road","1 Exc Low",40,80,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13207,"Tokyo","Akishima City","Fukujimacho","Higashi Nakagami","1",1.9e+07,"90",NA,"Trapezoidal Shaped","8","165","1977","RC","House, Office, Shop","House","Southwest",6,"City Road","Neighborhood Comm",80,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Matsubaracho","Haijima","13",3.4e+07,"80",NA,"Semi-rectangular Shaped","9.4","85","2024","W","House","House","North",16.2,"City Road","Quasi-Ind",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Midoricho","Haijima","14",4.3e+07,"165",NA,"Semi-rectangular Shaped","12","105","2022","S","House","House","East",3.3,"City Road","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Midoricho","Haijima","11",3.1e+07,"90",NA,"Semi-trapezoidal Shaped","9.7","95","2010","W","House","House","North",11,"City Road","1 Exc Med",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Midoricho","Haijima","14",3.5e+07,"105",NA,"Semi-rectangular Shaped","6","85","2024","W","House","House","North",4,"City Road","1 Exc Low",40,80,"1st quarter 2025",""
